premise,hypothesis,target,source,labels
"Lina Joy, 42, was born Azlina Jailani to Malay parents, and was raised as a Muslim. Malaysia's constitution guarantees freedom of religion, but by law, all ethnic Malays are Muslim. Joy converted to Christianity at age 26, and after some bureaucratic difficulties had her named legally changed in 1999. However, on her MyKad national ID, the National Registration Department retained her stated religion as Islam. In order to have her religion changed, the National Registration Department said Joy would have to obtain a certificate of apostasy from the Muslim Sharia Court.",Lina Joy's parents are from Malaysia.,[0. 0.],"[Lina Joy's parents, are from Malaysia]","entailment, entailment"
"November 9, 1989 , the day the Berlin Wall fell and the world changed forever . Not even the most astute saw it coming . As Hungary's foreign minister in the late summer of 1989 , Gyula Horn gave the order to let visiting East Germans use his country to do a 400-mile end run around the Berlin Wall , a move now seen as the beginning of the end for hard-line communism in Europe .",The Berlin Wall was torn down in 1989.,[0. 0. 0.],"[The Berlin Wall, was torn down, in 1989]","entailment, entailment, entailment"
"Valero Energy Corp., on Monday, said it found ""extensive"" additional damage at its 250,000-barrel-per-day Port Arthur refinery.","Valero Energy Corp. produces 250,000 barrels per day.",[0. 0. 0.],"[Valero Energy Corp, produces 250,000 barrels, per day]","entailment, entailment, entailment"
Oil prices fall back as Yukos oil threat lifted,Oil prices rise.,[0.],[Oil prices rise],not_entailment
"Brian Brohm, the Louisville quarterback, threw for 368 yards and five touchdowns as the Cardinals beat visiting Oregon State 63-27.","The quarterback threw for 413 yards and three touchdowns, and then ran to the end zone two more times.",[0. 0. 0. 0.],"[The quarterback, threw for 413 yards and three touchdowns, ran to the end zone, two more times]","not_entailment, not_entailment, not_entailment, not_entailment"
"Greg Page, a former heavyweight boxing champion who suffered a severe brain injury in a 2001 fight, has died at 50. His wife Patricia said the one-time WBA champion had died at his home in Kentucky, USA, of complications related to injuries he suffered in the fight. Page was in a coma for a week after the 9 March 2001 fight against Dale Crowe which was stopped in the 10th round. Patricia Page said he was ""in a better place now"" after announcing on Monday he had died overnight in his sleep.",Greg Page was a WBA champion.,[0. 0.],"[Greg Page, was a WBA champion]","entailment, entailment"
"Sierra is likely to remain in jail at the Hillsborough County jail in her native Tampa until her next hearing on December 20, where she is being held without bail, which would prevent her attending the Washington event on Friday even if she still had permission to perform. Sierra has been in jail since the start of the month after an altercation with police officers outside a Tampa nightclub, which she had been ejected from. She is charged with disorderly intoxication and resisting arrest.","Sierra once reached the finals of ""American Idol"".",[0. 0.],"[Sierra, reached the finals of ""American Idol""]","not_entailment, not_entailment"
"Since 1987, however, Brazil has taken steps to dramatically reduce the destruction, including stepped-up enforcement and the elimination of tax incentives that led to large-scale land clearing.",In the early 1990s Brazil began to take action to save the rainforest.,[0. 0. 0.],"[In the early 1990s, Brazil began to take action, to save the rainforest]","not_entailment, not_entailment, not_entailment"
"FIFA has received 11 bids to host the 2018 and 2022 FIFA World Cup tournaments, an international football competition contested by the men's national teams. The countries vying to host the tournament are Australia, England, Indonesia, Japan, Mexico, Qatar, Russia, South Korea and United States, who have individual bids and the joint bids are from Belgium-Netherlands and Spain-Portugal.  Select bids are for 2018 and 2022 tournaments and two bids are just for the 2022 tournament. Qatar and South Korea are vying just for the 2022 tournament. The two winning bids will be chosen on December 2010 by the 24-man executive committee of FIFA.  Said FIFA president Sepp Blatter: ""We are very pleased about the fantastic level of interest in our flagship competition, with all initial bidders confirming their candidature.""",Sepp Blatter is the president of FIFA.,[0. 0.],"[Sepp Blatter, is the president of FIFA]","entailment, entailment"
U.S. crude settled $1.32 lower at $42.83 a barrel.,"Crude the light American lowered to the closing 1.32 dollars, to 42.83 dollars the barrel.",[0. 0. 0.],"[Crude the light American, lowered to the closing 1.32 dollars, to 42.83 dollars the barrel]","not_entailment, not_entailment, not_entailment"
"Many hopes are riding on the sale of Talisman's holdings in Palm Beach and Hendry counties, which Vice President Al Gore announced with much fanfare last year at the 50th anniversary of Everglades National Park.",Everglades National Park is located in Florida.,[0. 0.],"[Everglades National Park, is located in Florida]","not_entailment, not_entailment"
"Rabies virus infects the central nervous system, causing encephalopathy and ultimately death. Early symptoms of rabies in humans are nonspecific, consisting of fever, headache, and general malaise.",Rabies is fatal in humans.,[0. 0.],"[Rabies is fatal, in humans]","entailment, entailment"
American tobacco companies were showing a profit most quarters due to export sales of cigarettes and diversification of products sold including food.,PM often entered markets with both cigarettes and food.,[0.],"[Humans existed 10,000 years ago]",not_entailment
"The development of agriculture by early humans, roughly 10,000 years ago, was also harmful to many natural ecosystems as they were systematically destroyed and replaced with artificial versions.","Humans existed 10,000 years ago.",[0.],"[Humans existed 10,000 years ago]",entailment
"The two young leaders of the coup, Pibul Songgram and Pridi Phanomyang, both educated in Europe and influenced by Western ideas, came to dominate Thai politics in the ensuing years.",Pibul was a young leader.,[0.],[Pibul was a young leader],entailment
"Lin Piao, after all, was the creator of Mao's ""Little Red Book"" of quotations.","Lin Piao wrote the ""Little Red Book"".",[0. 0.],"[Lin Piao, wrote the `` Little Red Book '']","entailment, entailment"
"When patients interrupt a course of antibiotics, the surviving bacteria return with a vengeance, often having rapidly mutated to resist the therapy.",Bacteria is winning the war against antibiotics.,[0. 0.],"[Bacteria is winning the war, against antibiotics]","not_entailment, not_entailment"
Initially the Bundesbank opposed the introduction of the euro but was compelled to accept it in light of the political pressure of the capitalist politicians who supported its introduction.,The introduction of the euro has been opposed.,[0. 0.],"[The introduction of the euro, has been opposed]","entailment, entailment"
"The Armed Forces Press Committee (COPREFA) admitted that the government troops sustained 11 casualties in these clashes, adding that they inflicted three casualties on the rebels.",Three rebels were killed by government troops.,[0. 0. 0.],"[Three rebels, were killed, by government troops]","entailment, entailment, entailment"
"One economic study will not be the basis of Canada's public policy decisions, but Easton's research does conclusively show that there are economic benefits in the legalization of marijuana.",Drug legalization has benefits.,[0. 0.],"[Drug legalization, has benefits]","entailment, entailment"
"Archaeologists have found approximately 30 beautifully preserved mummies in a 4,000 year old Egyptian necropolis which held 53 tombs. Supervisor of Antiquities for Middle Egypt Dr. Abdel-Rahman El-Ayedi's team established his archaeological site in the Faiyum Oasis near the El-Lahun Egyptian pyramid which is just south of Cairo. Besides the mummies, the team found masks, amulets, clay pots and an offering table located in a funerary chapel. The chapel dates back to about 30 BC to 337 AD.",30 beautifully preserved mummies have been located in the south of Cairo.,[0. 0. 0.],"[30 beautifully preserved mummies, have been, located in the south of Cairo]","entailment, entailment, entailment"
Gastrointestinal bleeding can happen as an adverse effect of non-steroidal anti-inflammatory drugs such as aspirin or ibuprofen.,Aspirin prevents gastrointestinal bleeding.,[0. 0.],"[Aspirin prevents, gastrointestinal bleeding]","not_entailment, not_entailment"
"A former employee of the company, David Vance of South Portland, said Hooper spent a lot of time on the road, often meeting with customers between Portland and Kittery.",Hooper is a citizen of Portland.,[0.],[Hooper is a citizen of Portland],not_entailment
"Cyprus, divided or not, joins the EU on the 1st of May.",Cyprus was divided into two parts on May 1.,[0. 0. 0.],"[Cyprus was divided, into two parts, on May 1]","not_entailment, not_entailment, not_entailment"
World leaders expressed concern on Thursday that North Korea will quit six-party nuclear disarmament talks and will  bolster its nuclear weapons arsenal.,North Korea says it has a stockpile of nuclear weapons and is building more.,[0. 0. 0.],"[North Korea says, it has a stockpile of nuclear weapons, is building more]","not_entailment, not_entailment, not_entailment"
"In addition to establishing the electoral commission, the laws also concern nationality, a contentious issue since citizenship laws were tightened to exclude one of Gbagbo's main competitors from the 2000 presidential race, former prime minister Alassane Ouattara.",Gbagbo is a competitor of Ouattara.,[0. 0.],"[Gbagbo is, a competitor of Ouattara]","entailment, entailment"
"Mohandas Karamchand Gandhi never received the Nobel Peace Prize, though he was nominated for it five times between 1937 and 1948.",Mohandas received the Nobel Prize in 1989.,[0. 0.],"[Mohandas received the Nobel Prize, in 1989]","not_entailment, not_entailment"
"The Christian Democrats (CDU) won 35.2% of the vote, or 225 seats, against 34.3% for Chancellor Gerhard Schroeder's Social Democrats (SPD).",It seems unlikely that there will be a coalition between Gerhard Schroeder's Social Democrats and Angela Merkel's Christian Democratic Union.,[0. 0. 0. 0.],"[It seems unlikely that, there will be a coalition, between Gerhard Schroeder's Social Democrats, and Angela Merkel's Christian Democratic Union]","not_entailment, not_entailment, not_entailment, not_entailment"
Edward VIII became King in January of 1936 and abdicated in December.,King Edward VIII abdicated in December 1936.,[0. 0.],"[King Edward VIII, abdicated in December 1936]","entailment, entailment"
"Australian Guantanamo Bay detainee David Hicks has won British citizenship, opening the door for a possible bid to have him freed from the US detention facility in Cuba. Justice Lawrence Collins of the British High Court has overturned the British Government's refusal of citizenship to Hicks, whose mother was born in England. Justice Collins said the Government had ""no power to withhold or deprive citizenship"". Justice Collins said: ""In my view it would be improper to fail to give assistance which otherwise would have been given, simply because the claimant was believed to be involved in terrorism and has not had any previous connection with this country."" Hicks' lawyer, Stephen Grosz, said the decision was a breakthrough. He said there was now no reason why Hicks should not enjoy the same protection as the nine other British citizens released without charge from Guantanamo Bay on representations of the British Government.",Stephen Grosz is the British lawyer of David Hicks.,[0. 0.],"[Stephen Grosz, is the British lawyer of David Hicks]","not_entailment, not_entailment"
Rockweed has been harvested commercially in Nova Scotia since the late 1950's and is currently the most important commercial seaweed in Atlantic Canada.,Marine vegetation is  harvested.,[0. 0.],"[Marine vegetation, is harvested]","entailment, entailment"
Pakistan President Pervez Musharraf has ordered security forces to take firm action against rioters following the assassination of opposition leader Benazir Bhutto. The violence has left at least 44 people dead and dozens injured. Mr. Musharraf insisted the measures were to protect people. VOA's Ayaz Gul reports from Islamabad that a bitter dispute has also erupted over how the 54-year-old politician died and who was behind her assassination.,Musharraf has ordered rioters to take firm action against security forces.,[0. 0. 0.],"[Musharraf has ordered rioters, to take firm action, against security forces]","not_entailment, not_entailment, not_entailment"
"A month after Gov. David A. Paterson dropped his proposal for a soda tax, New York City's health commissioner has written an article advocating ""hefty"" taxes on sodas and sports drinks containing sugar. Such a tax, the article said, could be the biggest boon to public health since tobacco taxes. The commissioner, Dr. Thomas R. Frieden, and Kelly D. Brownell of Yale University, his co-author, argue in the New England Journal of Medicine that a tax of a penny per ounce could reduce consumption by more than 10 percent and raise $1.2 billion a year in New York State alone.",Michael Bloomberg is the mayor of New York.,[0. 0.],"[Michael Bloomberg, is the mayor of New York]","not_entailment, not_entailment"
Officials said the Finnish suspect was among the dead but did not provide a motive for the attack.,"Officials said that the suspect, a Finnish citizen, was among the dead.",[0. 0. 0. 0.],"[Officials said that, the suspect, a Finnish citizen, was among the dead]","entailment, entailment, entailment, entailment"
Britain agreed to lift by March 31 a 150-mile military protection zone enforced around the islands since Argentina invaded them in 1982.,The military protection zone around Falklands was lifted.,[0. 0. 0.],"[The military protection zone, around Falklands, was lifted]","entailment, entailment, entailment"
"The ferry owner PT Nur Budi's spokesman blamed Indonesian port authorities for the tragedy. ""The passenger capacity of the ferry is 205 people but the port administrator accepted more passengers as they thought it was possible,"" he said. The National Meteorological and Geophysics Agency, however, had published and raised an alert signal about high waves on Friday. It specifically stated that ""Saturday 10th and Sunday 11th, Indonesian waters would have witnessed storm force waves,"" but despite the dire warnings KM Teratai set for the seas.",An Indonesian ferry with 300 passengers sank.,[0. 0.],"[An Indonesian ferry, with 300 passengers sank]","not_entailment, not_entailment"
"Tension and battles between Greek police and anarchist demonstrators took place in the centre of Athens, Greece, during the anti-war demonstration of the 4th European Social Forum which is taking place in the Greek capital, from 4 to 7 of May 2006. The march of the approximately 1,000 anarchists ended with clashes between groups of anarchists and police. Riot police used tear gas, while a branch of a Greek bank, a fast-food store and around 50 shop windows in central Athens were damaged.",The riots in Greece started on December 6.,[0. 0.],"[The riots in Greece, started on December 6]","not_entailment, not_entailment"
Libya's case against Britain and the US concerns the dispute over their demand for extradition of Libyans charged with blowing up a Pan Am jet over Lockerbie in 1988.,One case involved the extradition of Libyan suspects in the Pan Am Lockerbie bombing.,[0. 0. 0.],"[One case, involved the extradition of Libyan suspects, in the Pan Am Lockerbie bombing]","entailment, entailment, entailment"
Argentina sought help from Britain on its privatization program and encouraged British investment.,Argentina sought UK expertise on privatization and agriculture.,[0. 0.],"[Argentina sought UK expertise, on privatization and agriculture]","not_entailment, not_entailment"
"Instead of action on crime, we got the federal long gun registry, which became a bloated bureaucratic nightmare to responsible hunters, farmers and rural Canadians. It cost taxpayers some CA$2 billion and it hasn't done a thing to reduce gun crime. said Harper. The Conservatives have provided amnesty for unregistered gun owners. At this time there is no legislation set before the House of Commons. Conservative Garry Breitkreuz from Saskatchewan tabled the bill killing the long-gun registry.",Garry Breitkreuz is a member of the Conservative Party.,[0. 0.],"[Garry Breitkreuz, is a member of the Conservative Party]","entailment, entailment"
"The researchers in the latest study fed one group of mice a diet in which 60 percent of calories came from fat. The diet started when the mice, all males, were 1 year old, which is middle-age in mouse longevity. As expected, the mice soon developed signs of impending diabetes, with grossly enlarged livers, and started to die much sooner than mice fed a standard diet.","At the age of one year, male mice were fed with a diet in which 60 percent of calories came from fat.",[0. 0. 0.],"[At the age of one year, male mice were fed with a diet, 60 percent of calories came from fat]","entailment, entailment, entailment"
"The soldiers, who were said to have been wearing Arab headdress, were accused of firing at Iraqi police when stopped at a road block.",The soldiers were driving a civilian car and were dressed in civilian clothes when a shooting took place between them and Iraqi patrols.,[0. 0. 0. 0.],"[The soldiers were driving a civilian car, were dressed in civilian clothes, when a shooting took place, between them and Iraqi patrols]","not_entailment, not_entailment, not_entailment, not_entailment"
"The United States would like to see U.N. weapons inspectors return to Iraq providing the Iraqis take concrete, affirmative and demonstrable actions ""to show full co-operation"" Clinton said.","U.N. weapons inspectors could stay in Iraq, Clinton said.",[0. 0. 0.],"[U.N. weapons inspectors, could stay in IraqMale fertility, Clinton said]","not_entailment, not_entailment, not_entailment"
"On 12 August, the San Carlos Battalion came across mines placed in their path and one soldier was killed while two were seriously injured. Meanwhile on 10 August, urban commandos took a patrol car by surprise and dropped a grenade inside the car, injuring four and partially destroying the vehicle.",A patrol car was attacked by the San Carlos Battalion.,[0. 0.],"[A patrol car was attacked, by the San Carlos Battalion]","not_entailment, not_entailment"
Bomb-sniffing dogs were brought to Rodriguez's Mulberry St. apartment.,Bomb-sniffing dogs were estimated at Rodriguez's Mulberry St. apartment.,[0. 0.],"[Bomb-sniffing dogs were estimated, at Rodriguez's Mulberry St. apartment]","not_entailment, not_entailment"
Startling new research into mobile phones claims they may reduce a man's sperm count by up to 30%.,Male fertility may be affected by use of a mobile phones.,[0. 0. 0.],"[Male fertility, may be, affected by use of a mobile phones]","entailment, entailment, entailment"
Workers at the Lufthansa Technik Automotive plant in Co Dublin are due to vote today on changes to work practices being sought by the company's management. The aircraft engine maintenace firm has warned that rejection of the proposals would threaten a planned �17230m investment in the Rathcoole plant and put jobs at risk. LTA says it is not seeking any lay-offs or pay cuts and the planned investment would guarantee the future of the plant for the next 15 years. The work-practice changes are being sought following the collapse of Labour Relations Commission talks on the matter.,Lufthansa Technik Automotive fires 30 workers.,[0. 0.],"[Lufthansa Technik Automotive, fires 30 workers]","not_entailment, not_entailment"
"It rewrites the rules of global trade, established by the General Agreement on Tariffs and Trade, or GATT, in 1947, and modified in multiple rounds of negotiations since then.",GATT was formed in 1947.,[0.],[GATT was formed in 1947],not_entailment
Vice President Dick Cheney on Tuesday hurled an obscenity on the Senate floor to punctuate an angry exchange with Vermont Sen. Patrick Leahy as all senators gathered for their annual photo.,Cheney cursed at Sen. Patrick Leahy.,[0. 0.],"[Cheney cursed, at Sen Patrick Leahy]","entailment, entailment"
"In the May 2005 general election Michael Howard failed to unseat the Labour Government, although the Conservatives did gain 33 seats, playing the most significant role in reducing Labour's majority from 167 to 66.",In the May 2005 general election Conservatives got 33 seats.,[0. 0.],"[In the May 2005, general election Conservatives got 33 seatswas created]","not_entailment, not_entailment"
The Norwegian Newspaper Corpus is a large and self-expanding corpus of Norwegian newspaper texts. The collection of this dynamic and continually growing corpus began in 1998.,Dagbladet is a Norwegian newspaper.,[0.],[Dagbladet is a Norwegian newspaper],not_entailment
"The Dutch, who ruled Indonesia until 1949, called the city of Jakarta Batavia.","Formerly ( until 1949 ) Batavia, Jakarta is largest city and capital of Indonesia.",[0. 0. 0.],"[Formerly ( until 1949 ) Batavia, Jakarta is largest city, capital of Indonesia]","not_entailment, not_entailment, not_entailment"
"The name for the newest James Bond film has been announced today. The 22nd film, previously known only as ""Bond 22"", will be called ""Quantum of Solace"". EON Productions who are producing the film made the announcement today at Pinewood Studios, where production for the film has been under way since last year. The name of the film was inspired by a short story (of the same name) from For Your Eyes Only by Bond creator, Ian Fleming.",James Bond was created by Ian Fleming.,[0. 0. 0.],"[James Bond, was created, by Ian Fleming]","entailment, entailment, entailment"
"The gastric bypass operation, also known as stomach stapling, has become the most common surgical procedure for treating obesity.",Obesity is medically treated.,[0.],[Obesity is medically treated],entailment
The cost of the consumer of the United States fell in June.,U.S. consumer spending dived in June.,[0. 0.],"[U.S. consumer spending, dived in June]","not_entailment, not_entailment"
"The former leader of Iraq was rushed to hospital last Sunday after refusing to eat for sixteen days. But according to news agencies, he has ended the hunger strike by eating lunch at the court in Baghdad. ""Saddam ate beef and rice and cola with bread which he brought from hospital,"" one source told Reuters news agency. He was fasting with three co-defendants, and they were demanding more security for their defence lawyers, three of whom have been murdered.",Some Australians have fasted to protest.,[0. 0.],"[Some Australians have fasted, to protest]","not_entailment, not_entailment"
Sonia Gandhi can be defeated in the next elections in India by BJP.,Sonia Gandhi is defeated by BJP.,[0. 0.],"[Sonia Gandhi is defeated, by BJP]","not_entailment, not_entailment"
Israeli Prime Minister Ariel Sharon has said that Mahmoud Abbas is a man that Israel can do business with.,"Palestinian leader, Mahmoud Abbas, may be someone Israel can talk with.",[0. 0. 0.],"[Palestinian leader, Mahmoud Abbas, may be someone Israel can talk with]","entailment, entailment, entailment"
"The Tempe Hometown Premiere will have all the trappings of a mega-Hollywood  event including red carpet arrivals, klieg lights, screaming fans, paparazzi and  media coverage of the film`s stars headed by Wolverine himself, Hugh Jackman and  including Liev Schreiber, Ryan Reynolds, Taylor Kitsch, Lynn Collins, will.i.am  and director Gavin Hood.  Following a hard-fought contest stretching over thousands of cities and towns  across the United States, Tempe emerged triumphant in a far-reaching, citywide  bid to nab the gala event. Mayor Hugh Hallman himself rallied the community,  which stepped up with dozens of videos that were posted on YouTube.",Hugh Jackman plays the role of Wolverine in the movie.,[0. 0. 0.],"[Hugh Jackman, plays the role of Wolverine, in the movie]","entailment, entailment, entailment"
"In October, however, amid rising tensions between the government and opposition groups, a car bomb seriously injured an opposition politician and killed his driver, in Beirut.",A member of the opposition was injured in a car bomb attack in Beirut.,[0. 0. 0. 0.],"[A member of the opposition, was injured, in a car bomb attack, in Beirut]","entailment, entailment, entailment, entailment"
Weinstock painstakingly reviewed dozens of studies for evidence of any link between sunscreen use and either an increase or decrease in melanoma.,skin cancer numbers increase.,[0.],[skin cancer numbers increase],not_entailment
Most people are familiar with the idea of St. Bernards or other dogs taking part in rescue and recovery efforts. Robots might also take part in search and rescue missions.,Robots are used to find missing victims.,[0. 0.],"[Robots are used, to find missing victims]","entailment, entailment"
Illinois born Charlton Heston was a 27-year-old actor from Broadway and television when he arrived in Hollywood for a five-picture contract with Hal Wallis.,Charlton Heston was born in Illinois.,[0. 0.],"[Charlton Heston, was born in Illinois]","entailment, entailment"
Ruth's 1927 single season record of 60 home runs stood unsurpassed until Roger Maris hit 61 in 1961.,Babe Ruth hit 60 home runs in his lifetime.,[0. 0.],"[Babe Ruth hit 60 home runs, in his lifetime]","not_entailment, not_entailment"
"The German technology was employed to build Shanghai's existing maglev line, the first in the world to be used commercially.",Maglev is commercially used.,[0.],[Maglev is commercially used],entailment
"SEATTLE � United Nations gang leader Clay Roueche should spend at least 30 years behind bars after his surprise guilty plea here Tuesday for conspiracy to smuggle cocaine, marijuana and illicit drug profits, U.S. Attorney Jeffrey Sullivan said. Sullivan said outside court that Roueche's leadership of the violent UN gang and the sophistication of the international drug conspiracy will all be factors used to argue for a longer sentence � up to life � for the 33-year-old Canadian. And he stressed that the plea agreement reached with Roueche did not include ""any kind of break with respect to sentencing."".",Clay Roueche is 33 years old.,[0. 0.],"[Clay Roueche, is 33 years old]","entailment, entailment"
"Baker's voice will replace the earlier computer-synthesized voice that was previously used. BT said that his voice was chosen as it was instantly recognisable. It took him 11 days to record 11,593 phrases and sounds which could then be broken down and reassembled by a computer to make new words. It then took five months to process these recordings to make a workable service. BT have said that there will be no barriers as to what Tom Baker's voice can 'say', including rude words. ""What appeals to me most is the thought that I will be bringing good news to people whether it is a cheeky message, a birthday greeting, or just a quick hello,"" said Baker.",Tom Baker works for BT.,[0. 0.],"[Tom Baker, works for BT]","entailment, entailment"
"The Norwegian Nobel Committee is responsible for the selection of the candidates and the choice of Prize Winners for the Peace Prize. The Committee is composed of five members appointed by the Storting (Norwegian parliament). The Peace Prize is awarded in Oslo, Norway and not in Stockholm, Sweden like the other Nobel Prizes.",Nobel Peace Prize candidates have been chosen.,[0. 0.],"[Nobel Peace Prize candidates, have been chosen]","not_entailment, not_entailment"
"More than 150 dolphins, marine turtles and beaked whales have been washed up dead on beaches in Africa.","Dead dolphins, turtles and whales have been found on African beaches.",[0. 0.],"[Dead dolphins, turtles and whales, have been found on African beaches]","entailment, entailment"
"Endon was respected for her humble, unassuming personality. She was popularly referred to as ""Kak Endon,"" or ""Elder Sister Endon."" She discovered she had cancer in 2002 after her twin sister, Noraini, was earlier diagnosed with the disease. Noraini died in 2003. Endon had a breast removed and traveled to the United States regularly for treatment. She returned to Malaysia from Los Angeles on Oct. 1 after five rounds of chemotherapy since July. Endon had been deeply involved in awareness programs for breast cancer, the main cause of illness-related fatalities for Malaysian women. She has said she refused to feel sorry for herself, and felt fortunate she could obtain the best medical treatment.",Noraini had a twin sister called Endon.,[0. 0.],"[Noraini had a twin sister, called Endon]","entailment, entailment"
"The plaintiffs in this most recent suit contend that Lee, Perlmutter, Arthur Lieberman and Avi Arad conspired in bad faith to conceal and misappropriate financial interests in Lee's creations assigned to Stan Lee Media in 1998. SLM's meltdown involved its former President Peter F. Paul fleeing to Brazil, contributions made to Bill and Hillary Clinton, Paul's extradition and more. In 2007, SLM filed a $5 billion lawsuit in which it claimed co-ownership of all of Stan Lee's creations for Marvel.",Hillary Clinton is Bill's sister.,[0.],[Hillary Clinton is Bill's sister],not_entailment
"Alex Da Silva, a salsa dance instructor and choreographer for Fox's ""So You Think You Can Dance,"" was arrested Saturday on suspicion of sexually assaulting four of his students, according to a statement from the Los Angeles Police Department. Da Silva, 41, is accused of assaulting the students in his two homes in the San Fernando Valley over the last six years, police said. He is being held in lieu of $3.8 million bail. Authorities said the four victims were all students of Da Silva at the time of the assaults.",Alex Da Silva is a student of salsa dance.,[0. 0.],"[Alex Da Silva, is a student of salsa dance]","not_entailment, not_entailment"
"Ruth bounced back from his 1925 ailments and problems to lead the American League in home runs with 47, 28 home runs more than anyone else.",Ruth hit 47 runs in his lifetime.,[0. 0.],"[Ruth hit 47 runs, in his lifetime]","not_entailment, not_entailment"
"On Tuesday, October 7, 2003, Arnold Schwarzenegger was elected Governor of California.",Arnold Schwarzenegger was elected Governor of California.,[0. 0. 0.],"[Arnold Schwarzenegger, was elected, Governor of California]","entailment, entailment, entailment"
Patricia Amy Messier and Eugene W. Weaver were married May 28 at St. Clare Roman Catholic Church in North Palm Beach.,Eugene W. Weaver is the husband of Patricia Amy.,[0. 0.],"[Eugene W Weaver, is the husband of Patricia Amy]","entailment, entailment"
"On April 28 1945, at the Piazzale Loreto in Milan, Benito Mussolini and his mistress Clara Petacci were shot and hanged in a spectacle that was photographed repeatedly.",Mussolini's mistress was Clara Petacci.,[0. 0.],"[Mussolini's mistress, was Clara Petacci]","entailment, entailment"
Twelve of Jupiter's moons are relatively small and seem to have been more likely captured than to have been formed in orbit around Jupiter.,Jupiter has Twelve moons.,[0.],[Jupiter has Twelve moons],not_entailment
"Zapatero visited the following cities in four days: Brasilia, S�o Paulo, Buenos Aires and Santiago de Chile. According to official sources these visits are the last part of the project he began at the EU-Latin American Summit in Guadalajara, Mexico and pursued in the Ibero-American meeting in Costa Rica in November.",Zapatero participated in the Ibero-American meeting in Costa Rica.,[0. 0. 0.],"[Zapatero participated, in the Ibero-American meeting, in Costa Rica]","entailment, entailment, entailment"
"Jakarta lies on a low, flat alluvial plain with historically extensive swampy areas; the parts of the city farther inland are slightly higher.",The parts of Jakarta away from the coast are on slightly higher land.,[0. 0. 0.],"[The parts of Jakarta, away from the coast, are on slightly higher land]","entailment, entailment, entailment"
