premise,hypothesis,chunks1,chunks2,labels
A man wearing denim plays a bass against a dun wall.,A man in is playing a bass.,"[A man, A man, wearing denim, plays a bass]","[playing a bass, A man, is playing a bass, is playing a bass]","[unaligned, entailAlign, unaligned, entailAlign]"
A man wearing denim plays a bass against a dun wall.,A man in khakis listens to a harp performance.,"[A man, A man, wearing denim, wearing denim, plays a bass, plays a bass, against a dun wall]","[in khakis, A man, listens to a harp performance, in khakis, in khakis, listens to a harp performance, in khakis]","[unaligned, entailAlign, unaligned, contradictAlign, unaligned, contradictAlign, unaligned]"
"A young man and lady are both standing at there own controls that look like a lot a square buttons, a screen by their feet, and a cube above the controls.",a young guy and a woman stand by a confusing cube and screen,"[A young man, A young man, and lady, and lady, are both, standing at there own controls that look like a lot a square buttons, a screen by their feet, and a cube above the controls]","[and screen, a young guy, stand by a confusing cube, and a woman, stand by a confusing cube, stand by a confusing cube and screen]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign]"
"A young man and lady are both standing at there own controls that look like a lot a square buttons, a screen by their feet, and a cube above the controls.",two coworkers hang out at unusual work spaces,"[A young man, and lady, A young man and lady, are both standing at there own controls that look like a lot a square buttons, a screen by their feet, and a cube above the controls]","[at unusual work spaces, at unusual work spaces, two coworkers, hang out at unusual work spaces]","[unaligned, unaligned, neutralAlign, neutralAlign]"
"A young man and lady are both standing at there own controls that look like a lot a square buttons, a screen by their feet, and a cube above the controls.",two women play soccer in a field,"[A young man, and lady, A young man and lady, standing at there own controls that look like a lot a square buttons, a screen by their feet, and a cube above the controls, a screen, and a cube, above the controls]","[play soccer, in a field, two women, play soccer in a field, play soccer, play soccer, play soccer]","[unaligned, unaligned, neutralAlign, contradictAlign, unaligned, unaligned, unaligned]"
A group of 5 kids are dressed in winter apparel playing in the snow.,A group of children having a snow ball fight.,"[A group of 5 kids, A group of 5 kids, are dressed in winter apparel, playing in the snow]","[having a snow ball fight, A group of children, having a snow ball fight, having a snow ball fight]","[unaligned, entailAlign, unaligned, neutralAlign]"
A group of 5 kids are dressed in winter apparel playing in the snow.,A group of children playing in the snow.,"[A group of 5 kids, A group of 5 kids, are dressed in winter apparel, playing in the snow]","[playing in the snow, A group of children, playing in the snow, playing in the snow]","[unaligned, entailAlign, unaligned, entailAlign]"
A group of 5 kids are dressed in winter apparel playing in the snow.,A group of children playing on a warm sunny beach.,"[A group of 5 kids, A group of 5 kids, are dressed in winter apparel, playing in the snow]","[playing on a warm sunny beach, A group of children, playing on a warm sunny beach, playing on a warm sunny beach]","[unaligned, entailAlign, unaligned, contradictAlign]"
A band plays on stage in front of an audience.,A band playing at a concert.,"[A band, A band, plays on stage]","[playing at a concert, A band, playing at a concert]","[unaligned, entailAlign, neutralAlign]"
A band plays on stage in front of an audience.,A band getting ready to play heavy metal.,"[A band, A band, plays on stage, in front of an audience]","[getting ready, A band, getting ready, to play heavy metal]","[unaligned, entailAlign, contradictAlign, neutralAlign]"
A band plays on stage in front of an audience.,A band playing for an audience.,"[A band, A band, plays on stage in front of an audience]","[playing for an audience, A band, playing for an audience]","[unaligned, entailAlign, entailAlign]"
A group of bicyclists are competing in a race.,the bicyclists are racing,"[A group of bicyclists, A group of bicyclists, are competing in a race]","[are racing, the bicyclists, are racing]","[unaligned, entailAlign, entailAlign]"
A group of bicyclists are competing in a race.,the bicyclists are racing for the 200 dollar prize,"[A group of bicyclists, A group of bicyclists, A group of bicyclists, are competing in a race, are competing in a race]","[are racing, for the 200 dollar prize, the bicyclists, for the 200 dollar prize, are racing]","[unaligned, unaligned, entailAlign, unaligned, entailAlign]"
A group of bicyclists are competing in a race.,the frogs eat birds,"[A group of bicyclists, A group of bicyclists, are competing, are competing, in a race]","[eat birds, the frogs, the frogs, eat birds, the frogs]","[unaligned, neutralAlign, unaligned, neutralAlign, unaligned]"
an older man walking in the street looking at merchandise.,The older man is at home.,"[an older man, an older man, walking in the street]","[is at home, The older man, is at home]","[unaligned, entailAlign, contradictAlign]"
an older man walking in the street looking at merchandise.,The older man is walking.,"[an older man, an older man, walking in the street, looking at merchandise]","[is walking, The older man, is walking, is walking]","[unaligned, entailAlign, entailAlign, unaligned]"
an older man walking in the street looking at merchandise.,The older man is trying to purchase merchandise.,"[an older man, an older man, walking in the street, looking at merchandise]","[is trying, The older man, is trying, is trying to purchase merchandise]","[unaligned, entailAlign, unaligned, entailAlign]"
Three young girls petting a small dog next to a building with statues.,Two boys light fireworks.,"[Three young girls, Three young girls, petting a small dog, next to a building with statues]","[light fireworks, Two boys, light fireworks, light fireworks]","[unaligned, neutralAlign, neutralAlign, unaligned]"
Three young girls petting a small dog next to a building with statues.,Three young girls playing with a little dog.,"[Three young girls, Three young girls, petting a small dog]","[playing with a little dog, Three young girls, playing with a little dog]","[unaligned, entailAlign, entailAlign]"
Three young girls petting a small dog next to a building with statues.,Three young girls play with a dog near a government building.,"[Three young girls, Three young girls, petting a small dog next, petting a small dog, next to a building with statues]","[near a government building, Three young girls, near a government building, play with a dog, near a government building]","[unaligned, entailAlign, unaligned, entailAlign, neutralAlign]"
Two people dressed in jackets are sitting outside of a restaurant with Union Market written on the awning.,The two people are siamese twins joined at the butt.,"[Two people, Two people, dressed in jackets, are sitting outside of a restaurant, with Union Market written on the awning]","[joined at the butt, The two people, joined at the butt, are siamese twins joined at the butt, are siamese twins]","[unaligned, entailAlign, unaligned, contradictAlign, unaligned]"
Two people dressed in jackets are sitting outside of a restaurant with Union Market written on the awning.,Two people is greater than one person.,"[Two people, Two people, dressed in jackets, are sitting outside of a restaurant, with Union Market, written on the awning]","[is greater, Two people, than one person, is greater than one person, is greater, than one person]","[unaligned, entailAlign, unaligned, neutralAlign, unaligned, unaligned]"
Two people dressed in jackets are sitting outside of a restaurant with Union Market written on the awning.,The weather is nice.,"[Two people, dressed in jackets, are sitting outside of a restaurant, are sitting outside of a restaurant, with Union Market, written on the awning]","[The weather, The weather, The weather, is nice, The weather, is nice]","[neutralAlign, unaligned, unaligned, neutralAlign, unaligned, unaligned]"
"The gummy bears on the cake are green, orange, yellow, and red in color. ",The cake has white icing and is otherwise unadorned.,"[The gummy bears on the cake are green, on the cake]","[is otherwise unadorned, The cake]","[contradictAlign, entailAlign]"
"The gummy bears on the cake are green, orange, yellow, and red in color. ",The cake is made entirely of gummy bears,"[The gummy bears on the cake, on the cake, are green, orange, yellow, and red in color]","[is made entirely of gummy bears, The cake, is made entirely of gummy bears]","[contradictAlign, entailAlign, unaligned]"
"The gummy bears on the cake are green, orange, yellow, and red in color. ",The cake looks like someone just dumped some candy on it.,"[The gummy bears on the cake, on the cake, are green, orange, yellow, and red in color]","[dumped some candy on it, The cake, dumped some candy]","[neutralAlign, entailAlign, unaligned]"
"A man with a hat, dark-rimmed glasses, and a gray shirt looks off to the side.",A man looks to the side.,"[A man, A man, with a hat, dark-rimmed glasses, and a gray shirt, looks off to the side]","[looks to the side, A man, looks to the side, looks to the side]","[unaligned, entailAlign, unaligned, entailAlign]"
"A man with a hat, dark-rimmed glasses, and a gray shirt looks off to the side.",A man looks to the side to find someone.,"[A man, A man, with a hat, dark-rimmed glasses, and a gray shirt, looks off to the side]","[looks to the side, A man, looks to the side to find someone, looks to the side to find someone]","[unaligned, entailAlign, unaligned, neutralAlign]"
"A man with a hat, dark-rimmed glasses, and a gray shirt looks off to the side.",A man stares at you straight on.,"[A man, A man, with a hat, dark-rimmed glasses, and a gray shirt, looks off to the side]","[stares at you straight on, A man, stares at you straight, stares at you straight on]","[unaligned, entailAlign, unaligned, contradictAlign]"
A teenage girl with a shaved head walks in a brown skirt and blue jean jacket.,A teenage girl with long blonde hair shops for clothing at the retail outlet.,"[A teenage girl, A teenage girl, with a shaved head, walks in a brown skirt and blue jean jacket, walks in a brown skirt and blue jean jacket]","[with long blonde hair, A teenage girl, with long blonde hair, shops for clothing, at the retail outlet]","[unaligned, entailAlign, contradictAlign, neutralAlign, unaligned]"
A teenage girl with a shaved head walks in a brown skirt and blue jean jacket.,A teenage girl with a shaved head wearing a brown skirt and blue jean jacket goes on a walk through downtown.,"[A teenage girl, A teenage girl, with a shaved head, with a shaved head, in a brown skirt and blue jean jacket, walks]","[and blue jean jacket, A teenage girl, and blue jean jacket, with a shaved head, wearing a brown skirt and blue jean jacket, goes on a walk through downtown]","[unaligned, entailAlign, unaligned, entailAlign, entailAlign, neutralAlign]"
A teenage girl with a shaved head walks in a brown skirt and blue jean jacket.,A teenage girl in a brown skirt on a walk.,"[A teenage girl, A teenage girl, with a shaved head, walks in a brown skirt, in a brown skirt, walks]","[in a brown skirt, A teenage girl, on a walk, on a walk, in a brown skirt, on a walk]","[unaligned, entailAlign, unaligned, unaligned, entailAlign, entailAlign]"
A young girl jumping at a beach.,A young girl playing outside.,"[A young girl, A young girl, jumping at a beach]","[playing outside, A young girl, playing outside]","[unaligned, entailAlign, entailAlign]"
A young girl jumping at a beach.,A girl playing at the beach.,"[A young girl, A young girl, jumping at a beach]","[playing at the beach, A girl, playing at the beach]","[unaligned, entailAlign, entailAlign]"
