premise,hypothesis,source,target,labels
"He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he was timid, so he took upon himself the feeding and care of the animal. Mark became absorbed in Blaze, the white horse.",Mark was afraid the stable boys at the Burlington Stables struck at him and bullied him.,"['Mark became absorbed in Blaze, the white horse', 'He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he was timid, so he took upon himself the feeding and care of the animal.']","['Mark was afraid the stable boys at the Burlington Stables struck at him and bullied him.', 'Mark was afraid the stable boys at the Burlington Stables struck at him and bullied him.']","['entailAlign', 'unaligned']"

"By rolling over in her upper berth, Tatyana could look over the edge of it and see her mother plainly. How very small and straight and rigid she lay in the bunk below! Her eyes were closed, but Tatyana doubted if she slept.",Tatyana doubted if her mother slept.,"['By rolling over in her upper berth, Tatyana could look over the edge of it and see her mother plainly', 'How very small and straight and rigid she lay in the bunk below! Her eyes were closed, but Tatyana doubted if she slept.']","['Tatyana doubted if her mother slept.', 'Tatyana doubted if her mother slept.']","['entailAlign', 'unaligned']"

Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very ill.,Bob was very ill.,"['Bob collapsed on the sidewalk', 'Soon he saw Carl coming to help']","['Bob was very ill.', 'Bob was very ill.']","['entailAlign', 'unaligned']"

Grace was happy to trade me her sweater for my jacket. She thinks it looks dowdy on her.,The sweater looks dowdy on her.,"['Grace was happy to trade me her sweater for my jacket', 'She thinks it looks dowdy on her.']","['The sweater looks dowdy on her.', 'The sweater looks dowdy on her.']","['entailAlign', 'unaligned']"

He is very grateful. Bob paid for Charlie's college education.,Charlie is very grateful.,"[""Bob paid for Charlie's college education"", 'He is very grateful.']","['Charlie is very grateful.', 'Charlie is very grateful.']","['entailAlign', 'unaligned']"

Grace was happy to trade me her sweater for my jacket. She thinks it looks great on her.,The sweater looks great on her.,"['Grace was happy to trade me her sweater for my jacket', 'She thinks it looks great on her.']","['The sweater looks great on her.', 'The sweater looks great on her.']","['entailAlign', 'unaligned']"

Schmidt took a long nap Every day after dinner Mr.,Mr. Schmidt's work was beautiful.,"['Every day after dinner Mr', 'Schmidt took a long nap']","[""Mr. Schmidt's work was beautiful."", ""Mr. Schmidt's work was beautiful.""]","['entailAlign', 'unaligned']"

"Since Yakutsk's army was much better equipped and ten times larger, they were defeated within weeks. In July, Kamtchatka declared war on Yakutsk.",Yakutsk was defeated within weeks.,"['In July, Kamtchatka declared war on Yakutsk', ""Since Yakutsk's army was much better equipped and ten times larger, they were defeated within weeks.""]","['Yakutsk was defeated within weeks.', 'Yakutsk was defeated within weeks.']","['entailAlign', 'unaligned']"

She reads it when she gets home from work. Sara borrowed the book from the library because she needs it for an article she is working on.,She reads the book when she gets home from work.,"['Sara borrowed the book from the library because she needs it for an article she is working on', 'She reads it when she gets home from work.']","['She reads the book when she gets home from work.', 'She reads the book when she gets home from work.']","['entailAlign', 'unaligned']"

He was immediately taken to the police station. The customer walked into the bank and stabbed one of the tellers.,The teller was immediately taken to the police station.,"['The customer walked into the bank and stabbed one of the tellers', 'He was immediately taken to the police station.']","['The teller was immediately taken to the police station.', 'The teller was immediately taken to the police station.']","['entailAlign', 'unaligned']"

"If Bob had left home for work on time, he would be here by this time. Adam can't leave work here until Bob arrives to replace him.",Bob would be here by this time.,"[""Adam can't leave work here until Bob arrives to replace him"", 'If Bob had left home for work on time, he would be here by this time.']","['Bob would be here by this time.', 'Bob would be here by this time.']","['entailAlign', 'unaligned']"

At that date he had been dead for five years. Thomson visited Cooper's grave in 1765.,Cooper had been dead for five years.,"[""Thomson visited Cooper's grave in 1765"", 'At that date he had been dead for five years.']","['Cooper had been dead for five years.', 'Cooper had been dead for five years.']","['entailAlign', 'unaligned']"

"Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned it on.",He changed his mind and turned the TV on.,"['Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV', 'But the show turned out to be boring, so he changed his mind and turned it on.']","['He changed his mind and turned the TV on.', 'He changed his mind and turned the TV on.']","['entailAlign', 'unaligned']"

"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.","Tatyana was careful not to disturb her, undressing and climbing back into her berth.","['When Tatyana reached the cabin, her mother was sleeping', 'She was careful not to disturb her, undressing and climbing back into her berth.']","['Tatyana was careful not to disturb her, undressing and climbing back into her berth.', 'Tatyana was careful not to disturb her, undressing and climbing back into her berth.']","['entailAlign', 'unaligned']"

"Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.",Anyone who knew that he was 19 years old could take his claim away from the government official.,"['Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest', 'Still, anyone who knew that he was 19 years old could take his claim away from him.']","['Anyone who knew that he was 19 years old could take his claim away from the government official.', 'Anyone who knew that he was 19 years old could take his claim away from the government official.']","['entailAlign', 'unaligned']"

Fred is the only man still alive who remembers my great-grandfather. He is a remarkable man.,My great-grandfather is a remarkable man.,"['Fred is the only man still alive who remembers my great-grandfather', 'He is a remarkable man.']","['My great-grandfather is a remarkable man.', 'My great-grandfather is a remarkable man.']","['entailAlign', 'unaligned']"

I put the cake away in the refrigerator. It has a lot of leftovers in it.,The cake has a lot of leftovers in it.,"['I put the cake away in the refrigerator', 'It has a lot of leftovers in it.']","['The cake has a lot of leftovers in it.', 'The cake has a lot of leftovers in it.']","['entailAlign', 'unaligned']"

Steve follows Fred's example in everything. He influences him hugely.,Fred influences him hugely.,"[""Steve follows Fred's example in everything"", 'He influences him hugely.']","['Fred influences him hugely.', 'Fred influences him hugely.']","['entailAlign', 'unaligned']"

"When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her , undressing and climbing back into her berth.","She was careful not to disturb her mother , undressing and climbing back into her berth.","['When Tatyana reached the cabin, her mother was sleeping', 'She was careful not to disturb her , undressing and climbing back into her berth.']","['She was careful not to disturb her mother , undressing and climbing back into her berth.', 'She was careful not to disturb her mother , undressing and climbing back into her berth.']","['entailAlign', 'unaligned']"

"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because it got full of ink.",The coffee got full of ink.,"[""I couldn't find a spoon, so I tried using a pen to stir my coffee"", 'But that turned out to be a bad idea, because it got full of ink.']","['The coffee got full of ink.', 'The coffee got full of ink.']","['entailAlign', 'unaligned']"

"But that turned out to be a bad idea, because it got full of ink. I couldn't find a spoon, so I tried using a pen to stir my coffee.",The pen got full of ink.,"[""I couldn't find a spoon, so I tried using a pen to stir my coffee"", 'But that turned out to be a bad idea, because it got full of ink.']","['The pen got full of ink.', 'The pen got full of ink.']","['entailAlign', 'unaligned']"

He was very impressed. John was jogging through the park when he saw a man juggling watermelons.,John was very impressed.,"['John was jogging through the park when he saw a man juggling watermelons', 'He was very impressed.']","['John was very impressed.', 'John was very impressed.']","['entailAlign', 'unaligned']"

"He lowered them when the wind stopped. Fred covered his eyes with his hands, because the wind was blowing sand around.",He lowered his eyes when the wind stopped.,"['Fred covered his eyes with his hands, because the wind was blowing sand around', 'He lowered them when the wind stopped.']","['He lowered his eyes when the wind stopped.', 'He lowered his eyes when the wind stopped.']","['entailAlign', 'unaligned']"

There is a gap in the wall. You can see the garden behind it.,You can see the garden through the wall.,"['There is a gap in the wall', 'You can see the garden behind it.']","['You can see the garden through the wall.', 'You can see the garden through the wall.']","['entailAlign', 'unaligned']"

"Dora asked what it was, and Dad said it was firecrackers. Even before they reached town, they could hear a sound like corn popping.",Dora asked what the sound was.,"['Even before they reached town, they could hear a sound like corn popping', 'Dora asked what it was, and Dad said it was firecrackers.']","['Dora asked what the sound was.', 'Dora asked what the sound was.']","['entailAlign', 'unaligned']"

"Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned it on.",He changed his mind and turned the dishwasher on.,"['Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV', 'But the show turned out to be boring, so he changed his mind and turned it on.']","['He changed his mind and turned the dishwasher on.', 'He changed his mind and turned the dishwasher on.']","['entailAlign', 'unaligned']"

I shall have to kill them. The foxes are getting in at night and attacking the chickens.,I shall have to kill The chickens.,"['The foxes are getting in at night and attacking the chickens', 'I shall have to kill them.']","['I shall have to kill The chickens.', 'I shall have to kill The chickens.']","['entailAlign', 'unaligned']"

"Papa looked down at the children's faces, so puzzled and sad now. It was bad enough that they had to be denied so many things because he couldn't afford them.",It was bad enough that the faces had to be denied so many things because he couldn't afford them.,"[""Papa looked down at the children's faces, so puzzled and sad now"", ""It was bad enough that they had to be denied so many things because he couldn't afford them.""]","[""It was bad enough that the faces had to be denied so many things because he couldn't afford them."", ""It was bad enough that the faces had to be denied so many things because he couldn't afford them.""]","['entailAlign', 'unaligned']"

"It waited at the top. The dog chased the cat, which ran up a tree.",The dog waited at the top.,"['The dog chased the cat, which ran up a tree', 'It waited at the top.']","['The dog waited at the top.', 'The dog waited at the top.']","['entailAlign', 'unaligned']"

He admires him hugely. Steve follows Fred's example in everything.,Fred admires him hugely.,"[""Steve follows Fred's example in everything"", 'He admires him hugely.']","['Fred admires him hugely.', 'Fred admires him hugely.']","['entailAlign', 'unaligned']"

"The dog chased the cat, which ran up a tree. It waited at the bottom.",The dog waited at the bottom.,"['The dog chased the cat, which ran up a tree', 'It waited at the bottom.']","['The dog waited at the bottom.', 'The dog waited at the bottom.']","['entailAlign', 'unaligned']"

Soon he saw Carl coming to help Bob collapsed on the sidewalk.,Carl was very concerned.,"['Bob collapsed on the sidewalk', 'Soon he saw Carl coming to help']","['Carl was very concerned.', 'Carl was very concerned.']","['entailAlign', 'unaligned']"

But a month or so from now they should be unnecessary. Sam broke both his ankles and he's walking with crutches.,The crutches should be unnecessary.,"[""Sam broke both his ankles and he's walking with crutches"", 'But a month or so from now they should be unnecessary.']","['The crutches should be unnecessary.', 'The crutches should be unnecessary.']","['entailAlign', 'unaligned']"

"I stuck a pin through a carrot. When I pulled the pin out, it left a hole.",The carrot left a hole.,"['I stuck a pin through a carrot', 'When I pulled the pin out, it left a hole.']","['The carrot left a hole.', 'The carrot left a hole.']","['entailAlign', 'unaligned']"

Of one thing Mark was sure. Harry knew much less than he did.,Harry knew much less than Mark did.,"['Of one thing Mark was sure', 'Harry knew much less than he did.']","['Harry knew much less than Mark did.', 'Harry knew much less than Mark did.']","['entailAlign', 'unaligned']"

"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was hot.",The dog was hot.,"['It was a summer afternoon, and the dog was sitting in the middle of the lawn', 'After a while, it got up and moved to a spot under the tree, because it was hot.']","['The dog was hot.', 'The dog was hot.']","['entailAlign', 'unaligned']"

He was very annoyed. John was doing research in the library when he heard a man humming and whistling.,John was very annoyed.,"['John was doing research in the library when he heard a man humming and whistling', 'He was very annoyed.']","['John was very annoyed.', 'John was very annoyed.']","['entailAlign', 'unaligned']"

Mary took out her flute and played one of her favorite pieces. She has loved it since she was a child.,She has loved the piece since she was a child.,"['Mary took out her flute and played one of her favorite pieces', 'She has loved it since she was a child.']","['She has loved the piece since she was a child.', 'She has loved the piece since she was a child.']","['entailAlign', 'unaligned']"

"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve months old.","When Fred first saw my father, Fred was twelve months old.","['Fred is the only man alive who still remembers my father as an infant', 'When Fred first saw my father, he was twelve months old.']","['When Fred first saw my father, Fred was twelve months old.', 'When Fred first saw my father, Fred was twelve months old.']","['entailAlign', 'unaligned']"

"She invited her to come out. Jane knocked on the door, and Susan answered it.",Susan invited her to come out.,"['Jane knocked on the door, and Susan answered it', 'She invited her to come out.']","['Susan invited her to come out.', 'Susan invited her to come out.']","['entailAlign', 'unaligned']"

She thinks it looks dowdy on her. Grace was happy to trade me her sweater for my jacket.,The jacket looks dowdy on her.,"['Grace was happy to trade me her sweater for my jacket', 'She thinks it looks dowdy on her.']","['The jacket looks dowdy on her.', 'The jacket looks dowdy on her.']","['entailAlign', 'unaligned']"

"Pam's parents came home and found her having sex with her boyfriend, Paul. They were furious about it.",Pam and Paul were furious about it.,"[""Pam's parents came home and found her having sex with her boyfriend, Paul"", 'They were furious about it.']","['Pam and Paul were furious about it.', 'Pam and Paul were furious about it.']","['entailAlign', 'unaligned']"

"Now, I have to get it removed. In the storm, the tree fell down and crashed through the roof of my house.",Now I have to get The tree removed.,"['In the storm, the tree fell down and crashed through the roof of my house', 'Now, I have to get it removed.']","['Now I have to get The tree removed.', 'Now I have to get The tree removed.']","['entailAlign', 'unaligned']"

"But the show turned out to be boring, so he changed his mind and turned it off. Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV.",He changed his mind and turned the TV off.,"['Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV', 'But the show turned out to be boring, so he changed his mind and turned it off.']","['He changed his mind and turned the TV off.', 'He changed his mind and turned the TV off.']","['entailAlign', 'unaligned']"

"It is not easy to space buttonholes exactly the same distance apart, and it is very difficult to cut them precisely the right size. The tiniest slip of the scissors will make the hole too large, and even one thread uncut will leave it too small.",Even one thread uncut will leave one thread too small.,"['It is not easy to space buttonholes exactly the same distance apart, and it is very difficult to cut them precisely the right size', 'The tiniest slip of the scissors will make the hole too large, and even one thread uncut will leave it too small.']","['Even one thread uncut will leave one thread too small.', 'Even one thread uncut will leave one thread too small.']","['entailAlign', 'unaligned']"

"Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies. Next time, we should make more of them.",We should make more of the oatmeal cookies.,"['Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies', 'Next time, we should make more of them.']","['We should make more of the oatmeal cookies.', 'We should make more of the oatmeal cookies.']","['entailAlign', 'unaligned']"

"He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he was timid, so he took upon himself the feeding and care of the animal. Mark became absorbed in Blaze, the white horse.",Blaze took upon himself the feeding and care of the animal.,"['Mark became absorbed in Blaze, the white horse', 'He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he was timid, so he took upon himself the feeding and care of the animal.']","['Blaze took upon himself the feeding and care of the animal.', 'Blaze took upon himself the feeding and care of the animal.']","['entailAlign', 'unaligned']"

"Alice was dusting the living room and trying to find the button that Mama had hidden. No time today to look at old pictures in her favorite photo album. Today she had to hunt for a button, so she put the album on a chair without even opening it.",Mama had to hunt for a button.,"['Alice was dusting the living room and trying to find the button that Mama had hidden', 'No time today to look at old pictures in her favorite photo album']","['Mama had to hunt for a button.', 'Mama had to hunt for a button.']","['entailAlign', 'unaligned']"

