premise,hypothesis,chunks1,chunks2,labels
Five children are standing in a wooden hut,Five kids are standing close together and one kid has a gun,"[Five children, Five children, are standing, are standing, in a wooden hut]","[are standing close together, Five kids, has a gun, are standing close together, and one kid]","[unaligned, entailAlign, unaligned, entailAlign, unaligned]"
Five wooden stands are in front of each child's hut,Five kids are standing close together and one kid has a gun,"[Five wooden stands, are in front of each child's hut]","[are standing close together, and one kid]","[unaligned, unaligned]"
An old man is sitting in a field,A man is sitting in a field,"[An old man, An old man, is sitting, is sitting, in a field]","[is sitting, A man, in a field, is sitting, in a field]","[unaligned, entailAlign, unaligned, entailAlign, entailAlign]"
A man is sitting in a field,A man is running in a field,"[A man, A man, is sitting, is sitting, in a field]","[is running, A man, in a field, is running, in a field]","[unaligned, entailAlign, unaligned, entailAlign, entailAlign]"
A person is wearing a hat and is sitting on the grass,A person is sitting in a field and is wearing a hat,"[A person, A person, is wearing a hat, is wearing a hat, and is, and is, sitting on the grass]","[wearing a hat, A person, in a field, wearing a hat, in a field, and is, is sitting]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign, unaligned]"
A person is sitting and wearing a grass hat,A person is wearing a hat and is sitting on the grass,"[A person, A person, is sitting, and wearing a grass hat]","[is wearing a hat, A person, and is, and is]","[unaligned, entailAlign, unaligned, unaligned]"
A person is sitting and wearing a grass hat,A man is sitting in a field,"[A person, A person, is sitting, is sitting, and wearing a grass hat]","[is sitting, A man, in a field, is sitting, in a field]","[unaligned, neutralAlign, unaligned, entailAlign, unaligned]"
A man is sitting in a field,A person is wearing a hat and is sitting on the grass,"[A man, A man, is sitting, in a field]","[is wearing a hat, A person, and is, sitting on the grass]","[unaligned, entailAlign, unaligned, unaligned]"
The current is being ridden by a group of friends in a raft,A group of friends are riding the current in a raft,"[The current, is being, ridden by a group of friends, ridden by a group of friends, in a raft, in a raft]","[A group of friends, in a raft, in a raft, A group of friends, are riding the current, in a raft]","[unaligned, unaligned, unaligned, entailAlign, unaligned, entailAlign]"
A group of friends are riding the current in a raft,A group is not riding the current in a raft,"[A group of friends, A group of friends, are riding the current, are riding the current, in a raft, in a raft]","[is not, A group, in a raft, riding the current, is not, in a raft]","[unaligned, entailAlign, unaligned, neutralAlign, unaligned, entailAlign]"
The current is being ridden by a group of friends in a raft,This group of people is practicing water safety and wearing preservers,"[The current, is being, ridden by a group of friends, ridden by a group of friends, in a raft]","[is practicing water safety, and wearing preservers, and wearing preservers, This group of people, is practicing water safety]","[unaligned, unaligned, unaligned, entailAlign, unaligned]"
A group of friends are riding the current in a raft,This group of people is practicing water safety and wearing preservers,"[A group of friends, A group of friends, are riding the current, in a raft]","[is practicing water safety, This group of people, and wearing preservers, is practicing water safety]","[unaligned, entailAlign, unaligned, unaligned]"
A deer is jumping over a fence,A deer isn't jumping over the fence,"[A deer, A deer, is jumping, over a fence, over a fence]","[jumping over the fence, A deer, jumping over the fence, is n't, jumping over the fence]","[unaligned, entailAlign, unaligned, unaligned, neutralAlign]"
People are walking inside a building that has many murals on it,People are walking outside a building that has many murals on it,"[People are, People are, walking inside a building, walking inside a building, that has many murals, that has many murals]","[that has many murals, People are, on it, walking outside a building, on it, that has many murals]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign]"
Several people are in front of a colorful building,Nobody is in front of the colorful building,"[Several people, are in front of a colorful building, are in front of a colorful building]","[in front of the colorful building, Nobody is, in front of the colorful building]","[unaligned, unaligned, entailAlign]"
People are walking outside a building that has many murals on it,Nobody is in front of the colorful building,"[People are, walking outside a building, that has many murals, on it]","[in front of the colorful building, Nobody is, in front of the colorful building, in front of the colorful building]","[unaligned, unaligned, unaligned, unaligned]"
People are walking outside the building that has several murals on it,Several people are in front of a colorful building,"[People are, walking outside the building, that has several murals, on it]","[are in front of a colorful building, Several people, are in front of a colorful building, are in front of a colorful building]","[unaligned, unaligned, unaligned, unaligned]"
A family is watching a little boy who is hitting a baseball,A family is watching a little boy who is missing a baseball,"[A family, A family, is watching, is watching, a little boy, a little boy, who is, who is, hitting a baseball]","[is watching, A family, missing a baseball, is watching, who is, a little boy, missing a baseball, who is, missing a baseball]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign, entailAlign]"
A child is hitting a baseball,A family is watching a little boy who is missing a baseball,"[A child, is hitting a baseball]","[is watching, is watching]","[unaligned, unaligned]"
A child is missing a baseball,A family is watching a little boy who is hitting a baseball,"[A child, is missing a baseball]","[is watching, is watching]","[unaligned, unaligned]"
A purple crowd of people is eating on various red lit restaurant tables,Various people are eating at red tables in a crowded restaurant with purple lights,"[A purple crowd of people, is eating, is eating, on various red lit restaurant tables]","[at red tables, in a crowded restaurant, are eating, with purple lights]","[unaligned, unaligned, entailAlign, unaligned]"
A large group of Asian people is eating at a restaurant,Various customers are eating in a crowded restaurant with purple lights,"[A large group of Asian people, is eating, is eating, at a restaurant]","[in a crowded restaurant, in a crowded restaurant, are eating, Various customers]","[unaligned, unaligned, entailAlign, unaligned]"
A purple crowd of people is eating on various red lit restaurant tables,A large group of Asian people is eating at a restaurant,"[A purple crowd of people, A purple crowd of people, is eating, is eating, on various red lit restaurant tables]","[is eating, A large group of Asian people, at a restaurant, is eating, at a restaurant]","[unaligned, entailAlign, unaligned, entailAlign, unaligned]"
Various people are eating at red tables in a crowded restaurant with purple lights,A small group of people is waiting to eat in a restaurant,"[Various people, Various people, are eating, at red tables, in a crowded restaurant, in a crowded restaurant, with purple lights]","[in a restaurant, A small group of people, in a restaurant, is waiting, is waiting, in a restaurant, is waiting]","[unaligned, neutralAlign, unaligned, unaligned, unaligned, entailAlign, unaligned]"
A motorcycle rider is standing up on the seat of a white motorcycle,No motorcycle rider is standing up on the seat of a motorcycle,"[A motorcycle rider, A motorcycle rider, is standing up, is standing up]","[is standing up, on the seat of a motorcycle, No motorcycle rider, is standing up]","[unaligned, neutralAlign, unaligned, entailAlign]"
Nobody is on a motorcycle and is standing on the seat,Someone is on a black and white motorcycle and is standing on the seat,"[Nobody is, Nobody is, on a motorcycle, on a motorcycle, and is, and is, standing on the seat, standing on the seat]","[and is, Someone is, and is, on a black, and white motorcycle, and is, and white motorcycle, standing on the seat]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign]"
A motorcyclist is riding a motorbike dangerously along a roadway,A motorcyclist is riding a motorbike along a roadway,"[A motorcyclist, A motorcyclist, is riding a motorbike dangerously, is riding a motorbike dangerously, along a roadway]","[along a roadway, A motorcyclist, along a roadway, is riding a motorbike, along a roadway]","[unaligned, entailAlign, unaligned, entailAlign, entailAlign]"
There is no motorcyclist riding a motorbike along a roadway,A motorcyclist is riding a motorbike along a roadway,"[There is, no motorcyclist, no motorcyclist, riding a motorbike, riding a motorbike, along a roadway]","[A motorcyclist, along a roadway, A motorcyclist, along a roadway, is riding a motorbike, along a roadway]","[unaligned, unaligned, entailAlign, unaligned, neutralAlign, entailAlign]"
A man with a helmet painted red is riding a blue motorcycle down the road,A motorcyclist with a red helmet is riding a blue motorcycle down the road,"[A man, with a helmet, with a helmet, painted red, is riding a blue motorcycle, is riding a blue motorcycle, down the road, down the road]","[is riding a blue motorcycle, A motorcyclist, with a red helmet, A motorcyclist, down the road, is riding a blue motorcycle, A motorcyclist, down the road]","[unaligned, unaligned, entailAlign, unaligned, unaligned, entailAlign, unaligned, entailAlign]"
A motorcyclist without a helmet is waiting on a blue motorcycle near the road,A motorcyclist is riding a motorbike along a roadway,"[A motorcyclist, A motorcyclist, without a helmet, is waiting, on a blue motorcycle, on a blue motorcycle, near the road]","[along a roadway, A motorcyclist, is riding a motorbike, along a roadway, along a roadway, is riding a motorbike, along a roadway]","[unaligned, entailAlign, unaligned, unaligned, unaligned, neutralAlign, entailAlign]"
Two dogs are playing by a tree,A dog is catching a stick in the air and another is watching,"[Two dogs, are playing, by a tree]","[and another, is catching a stick, is catching a stick]","[unaligned, unaligned, unaligned]"
Two dogs are playing by a tree,There is no dog leaping in the air,"[Two dogs, are playing, by a tree]","[leaping in the air, There is, There is]","[unaligned, unaligned, unaligned]"
Two dogs are playing by a tree,A dog is leaping high in the air and another is watching,"[Two dogs, are playing, by a tree]","[and another, in the air, is leaping high]","[unaligned, unaligned, unaligned]"
A girl in white is dancing,The dancer is dancing in front of the sound equipment,"[A girl, in white, is dancing, is dancing]","[in front of the sound equipment, in front of the sound equipment, in front of the sound equipment, is dancing]","[unaligned, unaligned, unaligned, entailAlign]"
A girl in white is dancing,The blond girl is dancing behind the sound equipment,"[A girl, in white, is dancing, is dancing]","[is dancing, is dancing, behind the sound equipment, is dancing]","[unaligned, unaligned, unaligned, entailAlign]"
A girl is wearing white clothes and is dancing,The blond girl is dancing in front of the sound equipment,"[A girl, is wearing white clothes, is wearing white clothes, and is, dancing]","[in front of the sound equipment, in front of the sound equipment, is dancing, in front of the sound equipment, in front of the sound equipment]","[unaligned, unaligned, entailAlign, unaligned, unaligned]"
The blond girl is dancing in front of the sound equipment,There is no girl in white dancing,"[The blond girl, is dancing, in front of the sound equipment]","[in white dancing, in white dancing, no girl]","[unaligned, unaligned, unaligned]"
Three Asian kids are dancing and a man is looking,Three Asian kids are dancing and there is no man looking,"[Three Asian kids, Three Asian kids, are dancing, are dancing, and a man, is looking]","[and there, Three Asian kids, and there, are dancing, is no man, and there]","[unaligned, entailAlign, unaligned, entailAlign, unaligned, unaligned]"
Three Asian kids are dancing and a man is looking,An Asian man is dancing and three kids are looking,"[Three Asian kids, are dancing, are dancing, and a man, is looking, is looking]","[are looking, An Asian man, is dancing, and three kids, and three kids, are looking]","[unaligned, unaligned, entailAlign, unaligned, unaligned, entailAlign]"
The children of a family are playing and waiting,Three Asian kids are dancing and a serious man is looking,"[The children of a family, are playing, are playing, and waiting]","[are dancing, and a serious man, are dancing, and a serious man]","[unaligned, unaligned, neutralAlign, unaligned]"
The children of a family are patiently playing and waiting,Three Asian kids are dancing and a man is looking,"[The children of a family, are patiently, are patiently, playing and waiting]","[are dancing, and a man, are dancing, Three Asian kids]","[unaligned, unaligned, entailAlign, unaligned]"
There are no children playing and waiting,Three Asian kids are dancing and a man is looking,"[There are, no children, playing and waiting]","[and a man, is looking, Three Asian kids]","[unaligned, unaligned, unaligned]"
A woman is wearing an Egyptian hat on her head,A woman is wearing an Egyptian headdress,"[A woman, A woman, is wearing an Egyptian hat]","[is wearing an Egyptian headdress, A woman, is wearing an Egyptian headdress]","[unaligned, entailAlign, entailAlign]"
A woman is wearing an Egyptian headdress,A woman is wearing an Indian headdress,"[A woman, A woman, is wearing an Egyptian headdress]","[is wearing an Indian headdress, A woman, is wearing an Indian headdress]","[unaligned, entailAlign, entailAlign]"
The black woman is wearing glasses over the headdress,A woman is wearing an Egyptian headdress,"[The black woman, The black woman, is wearing glasses, over the headdress]","[is wearing an Egyptian headdress, A woman, is wearing an Egyptian headdress, is wearing an Egyptian headdress]","[unaligned, neutralAlign, unaligned, unaligned]"
A woman is wearing an Egyptian hat on her head,The woman is wearing glasses and a black headdress,"[A woman, A woman, is wearing an Egyptian hat, on her head]","[glasses and a black headdress, The woman, glasses and a black headdress, glasses and a black headdress]","[unaligned, entailAlign, unaligned, unaligned]"
A hiker is on top of the mountain and is dancing,There is no hiker dancing on top of the mountain,"[A hiker, is on top of the mountain, is on top of the mountain, and is, dancing]","[There is, no hiker, dancing on top of the mountain, no hiker, There is]","[unaligned, unaligned, entailAlign, unaligned, unaligned]"
There is no man on a rock high above some trees standing in a strange position,A man is on a rock high above some trees and is standing in a strange position,"[There is, There is, no man, on a rock high, on a rock high, above some trees, above some trees, standing in a strange position, standing in a strange position]","[is on a rock high, and is, is on a rock high, above some trees, is on a rock high, standing in a strange position, above some trees, A man, standing in a strange position]","[unaligned, neutralAlign, unaligned, unaligned, entailAlign, unaligned, entailAlign, unaligned, entailAlign]"
A hiker is on top of the mountain and is dancing,A man is on a rock high above some trees and is standing in an uncomfortable position,"[A hiker, is on top of the mountain, is on top of the mountain, and is, and is, dancing]","[standing in an uncomfortable position, and is, is on a rock high, standing in an uncomfortable position, and is, standing in an uncomfortable position]","[unaligned, unaligned, entailAlign, unaligned, entailAlign, unaligned]"
A hiker is on top of the mountain and is dancing,There is no man on a rock high above some trees standing in a strange position,"[A hiker, is on top of the mountain, is on top of the mountain, and is, dancing]","[on a rock high, standing in a strange position, on a rock high, no man, There is]","[unaligned, unaligned, neutralAlign, unaligned, unaligned]"
A man is on a rock high above some trees and is standing in a strange position,A hiker is on top of the mountain and is doing a joyful dance,"[A man, is on a rock high, is on a rock high, above some trees, and is, and is, standing in a strange position]","[and is, and is, is on top of the mountain, and is, doing a joyful dance, and is, doing a joyful dance]","[unaligned, unaligned, entailAlign, unaligned, unaligned, entailAlign, unaligned]"
There is no hiker dancing on top of the mountain,A man is on a rock high above some trees and is standing in a strange position,"[There is, There is, no hiker, dancing on top of the mountain]","[is on a rock high, and is, standing in a strange position, standing in a strange position]","[unaligned, neutralAlign, unaligned, unaligned]"
The brown horse is very near a red barrel at the rodeo,The brown horse is near a red barrel at the rodeo,"[The brown horse, The brown horse, is very, near a red barrel, near a red barrel, at the rodeo]","[is near a red barrel, The brown horse, is near a red barrel, at the rodeo, is near a red barrel, at the rodeo]","[unaligned, entailAlign, unaligned, unaligned, entailAlign, entailAlign]"
The brown horse is near a red barrel at the rodeo,The brown horse is far from a red barrel at the rodeo,"[The brown horse, The brown horse, is near a red barrel, is near a red barrel, at the rodeo, at the rodeo]","[is far, The brown horse, at the rodeo, from a red barrel, is far, at the rodeo]","[unaligned, entailAlign, unaligned, neutralAlign, unaligned, entailAlign]"
A cowgirl is riding a brown horse and is cornering a barrel,The brown horse is near a red barrel at the rodeo,"[A cowgirl, is riding a brown horse, is riding a brown horse, and is, cornering a barrel]","[is near a red barrel, at the rodeo, The brown horse, is near a red barrel, at the rodeo]","[unaligned, unaligned, entailAlign, unaligned, unaligned]"
